Name,Symbol,Currency,Sector
Alfa Laval,ALFA.ST,SEK,Industrials
AstraZeneca,AZN.ST,SEK,Health Care
Ericsson B,ERIC-B.ST,SEK,Telecommunications
Hennes & Mauritz B,HM-B.ST,SEK,Consumer Services
SAAB B,SAAB-B.ST,SEK,Industrials
SAS,SAS.ST,SEK,Consumer Services
SKF B,SKF-B.ST,SEK,Basic Materials
Sv. Handelsbanken B,SHB-B.ST,SEK,Financials
Telia Company,TELIA.ST,SEK,Telecommunications
Thule Group,THULE.ST,SEK,Consumer Services
Volvo B,VOLV-B.ST,SEK,Industrials
